SCHLUESSEL,BERUFINT
19200,Bleichmeister/in (Textilveredlung)
19201,Industriemeister/in - Textilwirtschaft
19202,Industriemeister/in - Textil (Stickereibetrieb)
19203,Posamentierermeister/in
19204,Spinnereimeister/in
19205,Stickmeister/in
19206,Stuhlmeister/in
19207,Strickmeister/in
19208,Stickermeister/in
19209,Strickermeister/in
19210,Färbemeister/in (Textil)
19211,Leiter/in - Warenschau (Maschenindustrie)
19212,Leiter/in - Endaufmachung (Maschenindustrie)
19213,Atelierleiter/in - Weberei
19214,Atelierleiter/in - Stickerei
19215,Gestaltungstechnische/r Assistent/in - Mode/Design
19216,Mode- und Kommunikationsgrafiker/in
19217,Assistent/in - Mode und Design
19218,Assistent/in - Textil und Design
19219,Assistent/in - Mode und Textildesign
19220,Assistent/in - Bekleidung/Modedesign
19221,Assistent/in - Textil und Modedesign
19222,Fashion Designer/in
19223,Schnittdirektrice/-modelleur
19224,Schnitttechniker/in (Direktrice/Modelleur)
19225,Schnitt-
19226,Bekleidungsdesigner/in
19227,Bekleidungsgestalter/in
19228,Bekleidungstechniker/in (Directrice/Modelleur)
19229,Bekleidungstechniker/in - Bekleidungsgestaltung
19230,Designer/in (Berufsfachschule) - Mode
19231,Designer/in (Fachschule) - Bekleidung
19232,Designer/in (Fachschule) - Bekleidungsgestaltung
19233,Fertigungsdirektrice/-modelleur
19234,Gestalter/in - Mode
19235,Gestalter/in - Bekleidung
19236,Gestalter/in - Bekleidung
19237,Gestalter/in - Bekleidungsgestaltung
19238,Textilkünstler/in
19239,Techniker/in - Bekleidungsgestaltung
19240,Techniker/in - Bekleidungstechnik (Bekleidungsgest
19241,Direktrice
19242,Entwurfsmodist/in
19243,Entwurfsdirektrice/-modelleur
19244,Entwurfs- und Schnittdirektrice/-modelleur
19245,Formgestalter/in - Modegestaltung
19246,Kostümzeichner/in
19247,Kostümgestalter/in
19248,Kollektionsgestalter/in
19249,Modellist/in
19250,Modestylist/in
19251,Modezeichner/in
19252,Modegrafiker/in
19253,Modedesigner/-in
19254,Modegestalter/in
19255,Modelldesigner/in
19256,Mode-
19257,Mode- und Designmanager/in
19258,Modelldirektrice/-modelleur
19259,Modellmacher/in (Bekleidung)
19260,Produktentwickler/in (Mode)
