Personal-Nr,ABCStatus,Status,Beruf,Einstellungsberuf,Berufschl,Qualifiaktion,Profil
61810,T,2,10007,Produktionshelfer/in - Metall,1,714,
61703,T,2,10007,Produktionshelfer/in - Metall,1,713,
62568,A,1,,,1,182,
62568,A,1,,,1,113,
62568,A,1,,,1,183,
62568,A,1,,,1,184,
62061,T,2,10007,Produktionshelfer/in - Metall,1,752,
62088,A,1,,,1,113,
62088,A,1,,,1,178,
62088,A,1,,,1,156,
61970,T,2,24571,Auslieferungsfahrer/in (nicht Verkaufsfa,1,751,
61688,A,1,,,1,123,
61688,A,1,,,1,173,
61688,A,1,,,1,156,
61688,A,1,,,1,157,
61688,A,1,,,1,118,
61927,A,1,,,1,113,
61927,A,1,,,1,714,
61927,A,1,,,1,166,
62306,I,1,,,1,705,
62306,I,1,,,1,706,
62281,I,1,,,1,731,
61383,T,1,,,1,730,
61897,I,1,,,1,713,
61729,I,1,,,1,703,
61520,T,1,,,1,120,
61520,T,1,,,1,720,
61520,T,1,,,1,132,
61520,T,1,,,1,133,
61520,T,1,,,1,114,
61520,T,1,,,1,134,
61520,T,1,,,1,105,
61520,T,1,,,1,115,
61520,T,1,,,1,167,
61520,T,1,,,1,108,
61520,T,1,,,1,118,
61602,A,2,158,Fachhelfer/in - Industrie,1,113,
62319,A,2,20146,Lebensmittelherstellerhelfer/in,1,113,
62319,A,2,20146,Lebensmittelherstellerhelfer/in,1,178,
62319,A,2,20146,Lebensmittelherstellerhelfer/in,1,169,
61648,A,2,158,Fachhelfer/in - Industrie,1,118,
61648,A,2,158,Fachhelfer/in - Industrie,1,169,
62310,A,2,10007,Produktionshelfer/in - Metall,1,800,
62310,A,2,10007,Produktionshelfer/in - Metall,1,113,
62310,A,2,10007,Produktionshelfer/in - Metall,1,169,
62444,T,1,,,1,706,
61998,T,1,,,1,704,
62127,T,1,,,1,714,
62127,T,1,,,1,155,
62127,T,1,,,1,175,
62127,T,1,,,1,118,
60865,A,2,158,Fachhelfer/in - Industrie,1,172,
60865,A,2,158,Fachhelfer/in - Industrie,1,114,
61984,T,1,,,1,714,
61403,T,2,130,Maschinen- und Anlagenführer/in,1,120,
61403,T,2,130,Maschinen- und Anlagenführer/in,1,720,
61403,T,2,130,Maschinen- und Anlagenführer/in,1,114,
61403,T,2,130,Maschinen- und Anlagenführer/in,1,167,
61403,T,2,130,Maschinen- und Anlagenführer/in,1,108,
61403,T,2,130,Maschinen- und Anlagenführer/in,1,118,
