SCHLUESSEL,BERUFINT,BERUFVERZ,RO,BESCHARTA,BESCHARTB,ENTSENDEG,BLTAETIGKEIT,TRFIELD,REPL_ID,REPL_DATABASE,IENTGELTGRUPPE,SSICHTBARINMAND,CSELEKTIONSKENNZEICHEN,IWEBPORTAL,SWEBPORTALTEXT,AUSGTAETIGKEITSSCHLUESSEL,AKTIV,WARNUNGMINDESTLOHN,HOCHSCHULBERUF,VORRAUSSETZUNG,LFDNRAUSGTAETIGKEIT,SWEBPORTALTEXT2,CFREMDSCHLUESSEL,AUTO_UEBERNAHME_PERSONAL,PROSOFT_RECRUITING_SOURCE_ID,DKZ_ID
880,Technische/r Konfektionär/in,Technische/r Konfektionär/in,N,356,,,,J,30816,1604123803,,,,,,28232,0,,,,9495,,,1,,3382
881,Bohrer/in,Bohrer/in,N,224,,,,J,30817,1604123803,,,,,,24232,0,,,,4612,,,1,,1871
882,Fleischer/in,Fleischer/in,N,401,,,,J,30818,1604123803,,,,,,29232,0,,,,10338,,,1,,3666
189,Ingenieur/in - Mikrosystemtechnik,Ingenieur/in - Mikrosystemtechnik,N,601,,,,,30819,1604123803,,,,,,26324,1,,,,7726,,,1,,58734
514,Kfm. Ass./Wirtschaftsassistent/in - Fremdsprachen,Kfm. Ass./Wirtschaftsassistent/in - Umweltschutz,N,781,,,,J,30820,1604123803,,,,,,42312,0,,,,13041,,,1,,13935
523,Betriebswirt/in (Hochschule) - allg. Betriebswirts,Betriebswirt/in (Hochschule) - allg. Betriebswirts,N,881,,,,J,30821,1604123803,,,,,,71304,0,,,,17234,,,1,,59181
148,Konstruktionsmechaniker/in,Konstruktionsmechaniker/in,N,275,,,,,30822,1604123803,,,,,,24412,1,,,,5117,,,1,,29050
149,Ingenieur/in - Kunststofftechnik,Ingenieur/in - Kunststofftechnik,N,606,,,,,30823,1604123803,,,,,,22104,1,,,,2129,,,1,,58726
163,Industriemeister/in - Kunststoff und Kautschuk,Industriemeister/in - Kunststoff und Kautschuk,N,629,,,,,30824,1604123803,,,,,,22193,1,,,,2204,,,1,,6125
161,Technische/r Zeichner/in,Technische/r Zeichner/in - Maschinen- und Anlagent,N,635,,,,,30825,1604123803,,,,,,27212,1,,,,8040,,,1,,6466
153, Elektroniker/in,Elektroniker/in - Geräte und Systeme,N,311,,,,,30826,1604123803,,,,,,26312,1,,,,7371,,,1,,15633
154,Kfz-Mechaniker/in,Kfz-Mechaniker/in,N,281,,,,,30827,1604123803,,,,,,25212,1,,,,6330,,,1,,106680
158,Fachhelfer/in - Industrie,Fachhelfer/in - Industrie,N,,,,,,30828,1604123803,,,,,,25101,1,,,,5725,,,1,,116584
157,Feinwerkmechaniker/in - Maschinenbau,Feinwerkmechaniker/in - Maschinenbau,N,284,,,,,30829,1604123803,,,,,,25102,1,,,,5761,,,1,,15173
156,Modellbauer/in - Formenbau,Modellbauer/in,N,502,,,,,30830,1604123803,,,,,,27232,1,,,,8202,,,1,,58422
162,Betriebsschlosser/in,Betriebsschlosser/in,N,274,,,,,30831,1604123803,,,,,,25102,1,,,,5756,,,1,,14235
